,Year,Jurisdiction,Gender,Average scale score
723,2007,Arkansas,Female,221.0
724,2007,California,Male,204.0
725,2007,California,Female,213.0
726,2007,Colorado,Male,221.0
727,2007,Colorado,Female,226.0
728,2007,Connecticut,Male,224.0
729,2007,Connecticut,Female,231.0
730,2007,Delaware,Male,222.0
731,2007,Delaware,Female,228.0
732,2007,Florida,Male,220.0
733,2007,Florida,Female,227.0
734,2007,Georgia,Male,216.0
735,2007,Georgia,Female,222.0
736,2007,Hawaii,Male,208.0
737,2007,Hawaii,Female,219.0
738,2007,Idaho,Male,221.0
739,2007,Idaho,Female,226.0
740,2007,Illinois,Male,217.0
741,2007,Illinois,Female,222.0
742,2007,Indiana,Male,219.0
743,2007,Indiana,Female,224.0
744,2007,Iowa,Male,222.0
745,2007,Iowa,Female,228.0
746,2007,Kansas,Male,221.0
747,2007,Kansas,Female,228.0
748,2007,Kentucky,Male,219.0
749,2007,Kentucky,Female,226.0
750,2007,Louisiana,Male,203.0
751,2007,Louisiana,Female,212.0
752,2007,Maine,Male,223.0
753,2007,Maine,Female,228.0
754,2007,Maryland,Male,221.0
755,2007,Maryland,Female,228.0
756,2007,Massachusetts,Male,233.0
757,2007,Massachusetts,Female,238.0
758,2007,Michigan,Male,216.0
759,2007,Michigan,Female,224.0
760,2007,Minnesota,Male,223.0
761,2007,Minnesota,Female,227.0
762,2007,Mississippi,Male,204.0
763,2007,Mississippi,Female,212.0
764,2007,Missouri,Male,216.0
765,2007,Missouri,Female,225.0
766,2007,Montana,Male,225.0
767,2007,Montana,Female,228.0
768,2007,Nebraska,Male,221.0
769,2007,Nebraska,Female,225.0
770,2007,Nevada,Male,208.0
771,2007,Nevada,Female,214.0
772,2007,New Hampshire,Male,226.0
773,2007,New Hampshire,Female,232.0
774,2007,New Jersey,Male,228.0
775,2007,New Jersey,Female,234.0
776,2007,New Mexico,Male,210.0
777,2007,New Mexico,Female,213.0
778,2007,New York,Male,220.0
779,2007,New York,Female,227.0
780,2007,North Carolina,Male,214.0
781,2007,North Carolina,Female,222.0
782,2007,North Dakota,Male,224.0
783,2007,North Dakota,Female,229.0
784,2007,Ohio,Male,223.0
785,2007,Ohio,Female,228.0
786,2007,Oklahoma,Male,214.0
787,2007,Oklahoma,Female,220.0
788,2007,Oregon,Male,212.0
789,2007,Oregon,Female,218.0
790,2007,Pennsylvania,Male,223.0
791,2007,Pennsylvania,Female,230.0
792,2007,Rhode Island,Male,215.0
793,2007,Rhode Island,Female,223.0
794,2007,South Carolina,Male,210.0
795,2007,South Carolina,Female,218.0
796,2007,South Dakota,Male,220.0
797,2007,South Dakota,Female,227.0
798,2007,Tennessee,Male,213.0
799,2007,Tennessee,Female,219.0
800,2007,Texas,Male,217.0
801,2007,Texas,Female,223.0
