,Year,Jurisdiction,Gender,Average scale score
588,2011,Rhode Island,Male,242.0
589,2011,Rhode Island,Female,242.0
590,2011,South Carolina,Male,237.0
591,2011,South Carolina,Female,238.0
592,2011,South Dakota,Male,242.0
593,2011,South Dakota,Female,240.0
594,2011,Tennessee,Male,233.0
595,2011,Tennessee,Female,232.0
596,2011,Texas,Male,241.0
597,2011,Texas,Female,241.0
598,2011,Utah,Male,244.0
599,2011,Utah,Female,241.0
600,2011,Vermont,Male,248.0
601,2011,Vermont,Female,245.0
602,2011,Virginia,Male,247.0
603,2011,Virginia,Female,244.0
604,2011,Washington,Male,244.0
605,2011,Washington,Female,242.0
606,2011,West Virginia,Male,235.0
607,2011,West Virginia,Female,234.0
608,2011,Wisconsin,Male,245.0
609,2011,Wisconsin,Female,244.0
610,2011,Wyoming,Male,245.0
611,2011,Wyoming,Female,243.0
612,2009,National,Male,241.0
613,2009,National,Female,239.0
614,2009,Alabama,Male,228.0
615,2009,Alabama,Female,228.0
616,2009,Alaska,Male,238.0
617,2009,Alaska,Female,236.0
618,2009,Arizona,Male,230.0
619,2009,Arizona,Female,230.0
620,2009,Arkansas,Male,239.0
621,2009,Arkansas,Female,236.0
622,2009,California,Male,233.0
623,2009,California,Female,231.0
624,2009,Colorado,Male,244.0
625,2009,Colorado,Female,242.0
626,2009,Connecticut,Male,246.0
627,2009,Connecticut,Female,243.0
628,2009,Delaware,Male,241.0
629,2009,Delaware,Female,238.0
630,2009,Florida,Male,243.0
631,2009,Florida,Female,241.0
632,2009,Georgia,Male,237.0
633,2009,Georgia,Female,236.0
634,2009,Hawaii,Male,235.0
635,2009,Hawaii,Female,236.0
636,2009,Idaho,Male,242.0
637,2009,Idaho,Female,240.0
638,2009,Illinois,Male,240.0
639,2009,Illinois,Female,237.0
640,2009,Indiana,Male,243.0
641,2009,Indiana,Female,242.0
642,2009,Iowa,Male,243.0
643,2009,Iowa,Female,242.0
644,2009,Kansas,Male,246.0
645,2009,Kansas,Female,244.0
646,2009,Kentucky,Male,240.0
647,2009,Kentucky,Female,238.0
648,2009,Louisiana,Male,230.0
649,2009,Louisiana,Female,229.0
650,2009,Maine,Male,247.0
651,2009,Maine,Female,242.0
652,2009,Maryland,Male,244.0
653,2009,Maryland,Female,243.0
654,2009,Massachusetts,Male,253.0
655,2009,Massachusetts,Female,251.0
656,2009,Michigan,Male,238.0
657,2009,Michigan,Female,235.0
658,2009,Minnesota,Male,251.0
659,2009,Minnesota,Female,248.0
660,2009,Mississippi,Male,227.0
661,2009,Mississippi,Female,228.0
662,2009,Missouri,Male,241.0
663,2009,Missouri,Female,240.0
664,2009,Montana,Male,247.0
665,2009,Montana,Female,242.0
666,2009,Nebraska,Male,239.0
667,2009,Nebraska,Female,239.0
668,2009,Nevada,Male,236.0
669,2009,Nevada,Female,234.0
670,2009,New Hampshire,Male,252.0
671,2009,New Hampshire,Female,250.0
672,2009,New Jersey,Male,248.0
673,2009,New Jersey,Female,245.0
674,2009,New Mexico,Male,231.0
675,2009,New Mexico,Female,229.0
676,2009,New York,Male,242.0
677,2009,New York,Female,239.0
678,2009,North Carolina,Male,244.0
679,2009,North Carolina,Female,244.0
680,2009,North Dakota,Male,247.0
681,2009,North Dakota,Female,244.0
682,2009,Ohio,Male,245.0
683,2009,Ohio,Female,242.0
684,2009,Oklahoma,Male,238.0
685,2009,Oklahoma,Female,236.0
686,2009,Oregon,Male,240.0
687,2009,Oregon,Female,236.0
688,2009,Pennsylvania,Male,245.0
689,2009,Pennsylvania,Female,242.0
690,2009,Rhode Island,Male,240.0
691,2009,Rhode Island,Female,237.0
692,2009,South Carolina,Male,236.0
693,2009,South Carolina,Female,235.0
694,2009,South Dakota,Male,243.0
695,2009,South Dakota,Female,241.0
696,2009,Tennessee,Male,232.0
697,2009,Tennessee,Female,231.0
698,2009,Texas,Male,241.0
699,2009,Texas,Female,240.0
700,2009,Utah,Male,241.0
701,2009,Utah,Female,239.0
702,2009,Vermont,Male,249.0
703,2009,Vermont,Female,247.0
704,2009,Virginia,Male,245.0
705,2009,Virginia,Female,241.0
706,2009,Washington,Male,242.0
707,2009,Washington,Female,242.0
708,2009,West Virginia,Male,234.0
709,2009,West Virginia,Female,232.0
710,2009,Wisconsin,Male,245.0
711,2009,Wisconsin,Female,242.0
712,2009,Wyoming,Male,243.0
713,2009,Wyoming,Female,241.0
714,2007,National,Male,241.0
715,2007,National,Female,239.0
716,2007,Alabama,Male,229.0
717,2007,Alabama,Female,228.0
