Year,Jurisdiction,Gender,Average scale score
2007,Ohio,Female,243.0
2007,Oklahoma,Male,238.0
2007,Oklahoma,Female,236.0
2007,Oregon,Male,238.0
2007,Oregon,Female,234.0
2007,Pennsylvania,Male,245.0
2007,Pennsylvania,Female,243.0
2007,Rhode Island,Male,236.0
2007,Rhode Island,Female,235.0
2007,South Carolina,Male,236.0
2007,South Carolina,Female,238.0
2007,South Dakota,Male,242.0
2007,South Dakota,Female,240.0
2007,Tennessee,Male,234.0
2007,Tennessee,Female,231.0
2007,Texas,Male,243.0
2007,Texas,Female,242.0
2007,Utah,Male,241.0
2007,Utah,Female,238.0
2007,Vermont,Male,248.0
2007,Vermont,Female,245.0
2007,Virginia,Male,245.0
2007,Virginia,Female,242.0
2007,Washington,Male,244.0
2007,Washington,Female,241.0
2007,West Virginia,Male,238.0
2007,West Virginia,Female,235.0
2007,Wisconsin,Male,245.0
2007,Wisconsin,Female,243.0
2007,Wyoming,Male,244.0
2007,Wyoming,Female,243.0
2005,National,Male,239.0
2005,National,Female,237.0
2005,Alabama,Male,225.0
2005,Alabama,Female,225.0
2005,Alaska,Male,236.0
2005,Alaska,Female,235.0
2005,Arizona,Male,233.0
2005,Arizona,Female,227.0
2005,Arkansas,Male,236.0
2005,Arkansas,Female,235.0
2005,California,Male,231.0
2005,California,Female,229.0
2005,Colorado,Male,241.0
2005,Colorado,Female,238.0
2005,Connecticut,Male,244.0
2005,Connecticut,Female,241.0
2005,Delaware,Male,241.0
2005,Delaware,Female,238.0
2005,Florida,Male,240.0
2005,Florida,Female,238.0
2005,Georgia,Male,234.0
2005,Georgia,Female,233.0
2005,Hawaii,Male,229.0
2005,Hawaii,Female,231.0
2005,Idaho,Male,242.0
2005,Idaho,Female,241.0
2005,Illinois,Male,234.0
2005,Illinois,Female,232.0
2005,Indiana,Male,240.0
2005,Indiana,Female,240.0
2005,Iowa,Male,242.0
2005,Iowa,Female,238.0
2005,Kansas,Male,247.0
2005,Kansas,Female,245.0
2005,Kentucky,Male,233.0
2005,Kentucky,Female,230.0
2005,Louisiana,Male,231.0
2005,Louisiana,Female,229.0
2005,Maine,Male,243.0
2005,Maine,Female,239.0
2005,Maryland,Male,240.0
2005,Maryland,Female,237.0
2005,Massachusetts,Male,248.0
2005,Massachusetts,Female,247.0
2005,Michigan,Male,240.0
2005,Michigan,Female,236.0
2005,Minnesota,Male,247.0
2005,Minnesota,Female,245.0
2005,Mississippi,Male,227.0
2005,Mississippi,Female,226.0
2005,Missouri,Male,237.0
2005,Missouri,Female,233.0
2005,Montana,Male,243.0
2005,Montana,Female,239.0
2005,Nebraska,Male,239.0
2005,Nebraska,Female,236.0
2005,Nevada,Male,231.0
2005,Nevada,Female,229.0
2005,New Hampshire,Male,247.0
2005,New Hampshire,Female,244.0
2005,New Jersey,Male,246.0
2005,New Jersey,Female,242.0
2005,New Mexico,Male,225.0
2005,New Mexico,Female,223.0
2005,New York,Male,240.0
2005,New York,Female,237.0
2005,North Carolina,Male,242.0
2005,North Carolina,Female,241.0
2005,North Dakota,Male,244.0
2005,North Dakota,Female,241.0
2005,Ohio,Male,243.0
2005,Ohio,Female,241.0
2005,Oklahoma,Male,235.0
2005,Oklahoma,Female,233.0
2005,Oregon,Male,239.0
2005,Oregon,Female,238.0
2005,Pennsylvania,Male,241.0
2005,Pennsylvania,Female,240.0
2005,Rhode Island,Male,234.0
2005,Rhode Island,Female,233.0
2005,South Carolina,Male,238.0
2005,South Carolina,Female,238.0
2005,South Dakota,Male,243.0
2005,South Dakota,Female,240.0
2005,Tennessee,Male,233.0
2005,Tennessee,Female,231.0
2005,Texas,Male,244.0
2005,Texas,Female,240.0
2005,Utah,Male,240.0
2005,Utah,Female,237.0
2005,Vermont,Male,246.0
