Year,Jurisdiction,Gender,Average scale score
2009,Florida,Female,229
2009,Georgia,Male,214
2009,Georgia,Female,221
2009,Hawaii,Male,205
2009,Hawaii,Female,217
2009,Idaho,Male,217
2009,Idaho,Female,226
2009,Illinois,Male,215
2009,Illinois,Female,224
2009,Indiana,Male,218
2009,Indiana,Female,227
2009,Iowa,Male,217
2009,Iowa,Female,226
2009,Kansas,Male,222
2009,Kansas,Female,226
2009,Kentucky,Male,222
2009,Kentucky,Female,229
2009,Louisiana,Male,203
2009,Louisiana,Female,212
2009,Maine,Male,220
2009,Maine,Female,228
2009,Maryland,Male,223
2009,Maryland,Female,229
2009,Massachusetts,Male,231
2009,Massachusetts,Female,236
2009,Michigan,Male,214
2009,Michigan,Female,222
2009,Minnesota,Male,220
2009,Minnesota,Female,227
2009,Mississippi,Male,208
2009,Mississippi,Female,213
2009,Missouri,Male,219
2009,Missouri,Female,229
2009,Montana,Male,222
2009,Montana,Female,228
2009,Nebraska,Male,220
2009,Nebraska,Female,225
2009,Nevada,Male,208
2009,Nevada,Female,214
2009,New Hampshire,Male,226
2009,New Hampshire,Female,233
2009,New Jersey,Male,227
2009,New Jersey,Female,232
2009,New Mexico,Male,203
2009,New Mexico,Female,213
2009,New York,Male,221
2009,New York,Female,228
2009,North Carolina,Male,215
2009,North Carolina,Female,224
2009,North Dakota,Male,223
2009,North Dakota,Female,229
2009,Ohio,Male,222
2009,Ohio,Female,227
2009,Oklahoma,Male,214
2009,Oklahoma,Female,220
2009,Oregon,Male,214
2009,Oregon,Female,223
2009,Pennsylvania,Male,221
2009,Pennsylvania,Female,226
2009,Rhode Island,Male,218
2009,Rhode Island,Female,228
2009,South Carolina,Male,213
2009,South Carolina,Female,219
2009,South Dakota,Male,220
2009,South Dakota,Female,225
2009,Tennessee,Male,214
2009,Tennessee,Female,220
2009,Texas,Male,216
2009,Texas,Female,222
2009,Utah,Male,217
2009,Utah,Female,222
2009,Vermont,Male,226
2009,Vermont,Female,231
2009,Virginia,Male,223
2009,Virginia,Female,230
2009,Washington,Male,217
2009,Washington,Female,226
2009,West Virginia,Male,211
2009,West Virginia,Female,218
2009,Wisconsin,Male,217
2009,Wisconsin,Female,224
2009,Wyoming,Male,219
2009,Wyoming,Female,226
2007,National,Male,218
2007,National,Female,224
2007,Alabama,Male,213
2007,Alabama,Female,219
2007,Alaska,Male,210
2007,Alaska,Female,219
2007,Arizona,Male,206
2007,Arizona,Female,214
2007,Arkansas,Male,213
2007,Arkansas,Female,221
2007,California,Male,204
2007,California,Female,213
2007,Colorado,Male,221
2007,Colorado,Female,226
2007,Connecticut,Male,224
2007,Connecticut,Female,231
2007,Delaware,Male,222
2007,Delaware,Female,228
2007,District of Columbia,Male,194
2007,District of Columbia,Female,200
2007,DoDEA,Male,226
2007,DoDEA,Female,233
